,고객번호,14_1이용금액,14_2이용금액,14_3이용금액,14_4이용금액,15_1이용금액,15_2이용금액,15_3이용금액,15_4이용금액,14_1,14_2,14_3,14_4,15_1,15_2,15_3,15_4
0,00005,3145330,2314820,1827290,398440,2124430,810500,0,2616260,1,1,1,1,1,1,0,1
1,00142,192000,50690,0,196350,52000,52000,132000,192750,1,1,0,1,1,1,1,1
2,00174,386500,0,0,0,0,38700,0,0,1,0,0,0,0,1,0,0
3,00244,0,1990300,2286170,2574940,4637500,8482620,11778810,7247770,0,1,1,1,1,1,1,1
4,00460,2619155,7517110,3356540,9215640,4531070,2069850,0,0,1,1,1,1,1,1,0,0
5,00905,6016120,7959539,5109965,6562750,5424630,6562458,195410,0,1,1,1,1,1,1,1,0
6,00985,1109600,9509140,3352740,17555490,3137570,246880,0,27420,1,1,1,1,1,1,0,1
7,01067,0,3860470,4838929,7744325,6048249,4208607,6645513,8972242,0,1,1,1,1,1,1,1
8,01093,0,244180,0,1433628,1152153,1252889,1157264,1154732,0,1,0,1,1,1,1,1
9,01121,0,7893500,2803580,12643860,9104960,9728630,12799900,10263320,0,1,1,1,1,1,1,1
10,01171,53596,0,0,0,50670,122000,115000,0,1,0,0,0,1,1,1,0
11,01208,0,0,7500,649000,0,0,0,0,0,0,1,1,0,0,0,0
12,01262,0,0,0,0,0,95200,0,0,0,0,0,0,0,1,0,0
13,01330,0,0,227700,0,918137,3403475,2267005,1307133,0,0,1,0,1,1,1,1
14,01379,0,0,0,0,0,33200,11000,0,0,0,0,0,0,1,1,0
15,01634,76288,0,0,186860,14700,25730,8900,8540,1,0,0,1,1,1,1,1
16,01643,0,804157,2496187,3587291,3124551,2871829,2911605,3920803,0,1,1,1,1,1,1,1
17,01686,306567,0,388980,0,770600,726020,21800,670800,1,0,1,0,1,1,1,1
18,01761,65082,411500,91650,0,97000,384620,156700,1019800,1,1,1,0,1,1,1,1
19,01875,0,0,695359,997289,1925383,2300460,1603833,4380190,0,0,1,1,1,1,1,1
20,01881,51516,24300,0,0,297000,0,0,0,1,1,0,0,1,0,0,0
21,01927,0,335240,2359510,2476702,2277303,2293480,4126550,2285740,0,1,1,1,1,1,1,1
22,02019,8500,438000,0,0,0,0,0,0,1,1,0,0,0,0,0,0
23,02194,146347,6630,179799,239784,171341,0,10300,155437,1,1,1,1,1,0,1,1
24,02366,0,0,729149,2592084,1505522,1045643,1121183,1110124,0,0,1,1,1,1,1,1
25,02621,2694880,607500,662040,3721470,0,0,562200,1858840,1,1,1,1,0,0,1,1
26,02709,0,0,0,1924951,2279726,2304410,4044173,2085172,0,0,0,1,1,1,1,1
27,02773,285450,2920,0,7350,26920,7050,1700,10500,1,1,0,1,1,1,1,1
28,02900,0,0,688622,926560,1048774,939090,1279648,1086888,0,0,1,1,1,1,1,1
29,02915,0,0,0,1737390,4685873,5238073,9554300,5876278,0,0,0,1,1,1,1,1
30,02923,0,0,23168790,27294520,16267960,6999880,9004350,23555380,0,0,1,1,1,1,1,1
31,02945,0,0,511290,1302054,2678110,2107585,2814683,2769245,0,0,1,1,1,1,1,1
32,03257,28670,0,20680,1162880,0,60000,0,25200,1,0,1,1,0,1,0,1
33,03430,0,0,399510,98770,15658265,43921790,18069590,923180,0,0,1,1,1,1,1,1
34,03449,420124,59500,91500,46700,69000,45000,0,2731110,1,1,1,1,1,1,0,1
35,03542,1535114,584613,1357032,1126040,184820,0,921858,200600,1,1,1,1,1,0,1,1
36,03705,0,0,1726077,1707409,2092233,1809684,2290511,2416565,0,0,1,1,1,1,1,1
37,03753,638107,1030950,880310,0,812500,89000,207900,1108700,1,1,1,0,1,1,1,1
38,03986,0,0,463449,653955,687855,726021,1019066,1577038,0,0,1,1,1,1,1,1
39,04240,0,2255276,2564538,1858302,1610914,1193201,1921336,1580514,0,1,1,1,1,1,1,1
40,04290,0,0,0,2512071,2377291,1371314,2173771,1604224,0,0,0,1,1,1,1,1
41,04395,66540,38311,0,34040,135450,118368,114119,2495439,1,1,0,1,1,1,1,1
42,04419,545522,0,0,0,288000,0,0,0,1,0,0,0,1,0,0,0
43,04425,0,569400,3210930,15408020,2788254,5360720,4667150,6097526,0,1,1,1,1,1,1,1
44,04471,5696180,8503020,4943350,10796160,0,14400,94547,11913770,1,1,1,1,0,1,1,1
45,04534,0,0,0,616620,565774,963441,1252687,1314169,0,0,0,1,1,1,1,1
46,04822,0,0,1722840,2101122,1895520,2130800,1828151,1277230,0,0,1,1,1,1,1,1
47,04825,0,25000,0,0,0,0,49000,456200,0,1,0,0,0,0,1,1
48,04834,0,178270,1279180,3303428,1705046,1006250,1787750,2114946,0,1,1,1,1,1,1,1
49,04926,364173,0,0,0,175000,133200,0,156500,1,0,0,0,1,1,0,1
50,05077,0,957400,1158830,1455950,1041280,965760,709930,1412190,0,1,1,1,1,1,1,1
51,05097,183030,0,864220,1614130,1645490,6628220,3152188,1214820,1,0,1,1,1,1,1,1
52,05199,0,1044345,1767318,2013065,1648538,1907864,2308864,1100929,0,1,1,1,1,1,1,1
53,05324,0,520066,1969386,1478753,1676120,1521160,1398158,1664575,0,1,1,1,1,1,1,1
54,05578,111756,27000,119480,140071,155300,500742,47000,0,1,1,1,1,1,1,1,0
55,05610,7294680,2239210,763390,179400,1804880,0,462900,1074730,1,1,1,1,1,0,1,1
56,05704,2417190,2392040,2683390,6451772,0,0,0,0,1,1,1,1,0,0,0,0
57,05774,8254264,8706871,9245454,14966158,4783786,15488827,0,96550,1,1,1,1,1,1,0,1
58,05779,2775480,0,14851700,23789440,10537434,10179320,4663060,14308075,1,0,1,1,1,1,1,1
59,05923,22350,0,0,0,18500,56000,0,31150,1,0,0,0,1,1,0,1
60,05993,1951370,1739470,1454830,1716110,2195030,2197318,0,20000,1,1,1,1,1,1,0,1
61,06081,0,3010960,9430030,16137690,20949590,20098830,11283300,7796990,0,1,1,1,1,1,1,1
62,06098,104200,852790,881940,423930,0,141964,108420,0,1,1,1,1,0,1,1,0
63,06118,0,8000,471918,1306947,842690,1354600,1237270,949720,0,1,1,1,1,1,1,1
64,06338,0,142400,774640,2639548,2145970,3078730,2375620,1491610,0,1,1,1,1,1,1,1
65,06345,0,0,1279690,1618740,1592910,2091630,1163830,1216110,0,0,1,1,1,1,1,1
66,06512,204440,40770,0,103014,1071721,1903265,1827741,2563301,1,1,0,1,1,1,1,1
67,06641,394830,0,1615200,7731170,11566240,10261910,7608120,26418780,1,0,1,1,1,1,1,1
68,06868,0,542950,533300,4625630,5521500,1586000,236680,353400,0,1,1,1,1,1,1,1
69,07111,8900,20500,135580,0,0,10000,165960,11000,1,1,1,0,0,1,1,1
70,07132,81410,20400,1106100,0,540500,88800,480700,27500,1,1,1,0,1,1,1,1
71,07196,0,0,0,0,0,0,4381940,8449620,0,0,0,0,0,0,1,1
72,07377,82310,25000,0,874975,1913414,1844318,2230549,2682449,1,1,0,1,1,1,1,1
73,07400,0,0,2420790,1865210,2276720,3261770,2368950,1614550,0,0,1,1,1,1,1,1
74,07417,4534429,8192957,4072932,243557,15052900,0,79200,132388,1,1,1,1,1,0,1,1
75,07491,0,0,818830,3565790,914280,3800620,1209300,1049400,0,0,1,1,1,1,1,1
76,07674,0,1557029,1925818,1829166,1570474,1705062,1740255,2619670,0,1,1,1,1,1,1,1
77,07729,232370,43900,0,17060,230900,290780,244558,0,1,1,0,1,1,1,1,0
78,07774,0,0,0,0,0,0,341800,71370,0,0,0,0,0,0,1,1
79,07812,0,54000,122500,23800,448200,0,44880,0,0,1,1,1,1,0,1,0
80,07841,74890,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
81,07919,0,1409198,3262179,2443431,2467959,2718984,4324804,1396553,0,1,1,1,1,1,1,1
82,08009,48000,0,0,0,127200,386930,809700,653940,1,0,0,0,1,1,1,1
83,08065,1020480,0,274350,259150,540450,488340,268900,561980,1,0,1,1,1,1,1,1
84,08168,0,484630,791140,1486350,1833590,3017754,1653570,2611730,0,1,1,1,1,1,1,1
85,08301,0,26500,0,0,0,44800,11000,990,0,1,0,0,0,1,1,1
86,08318,1464299,582751,0,53634,782490,1534943,1848419,1571842,1,1,0,1,1,1,1,1
87,08339,0,901346,2113021,2330281,2246502,2443490,1915800,1160629,0,1,1,1,1,1,1,1
88,08462,1968000,0,1626042,2822810,4299190,1958380,4474900,1323760,1,0,1,1,1,1,1,1
89,08474,0,0,1170387,856070,698190,1084790,1029289,550940,0,0,1,1,1,1,1,1
90,08561,176140,2648880,90000,0,805250,715800,0,312030,1,1,1,0,1,1,0,1
91,08633,0,520929,396955,1084300,209640,410130,265430,235149,0,1,1,1,1,1,1,1
92,08677,475611,279650,212469,391107,1461250,765715,102850,0,1,1,1,1,1,1,1,0
93,08685,9340400,3025140,15508960,12097500,10305340,1254090,0,1158430,1,1,1,1,1,1,0,1
94,08790,0,779560,610230,2941390,1830120,2958170,5128860,4789190,0,1,1,1,1,1,1,1
95,08848,0,160930,349640,425950,393550,494400,455300,392738,0,1,1,1,1,1,1,1
96,08883,0,0,0,209970,980152,601326,443608,585130,0,0,0,1,1,1,1,1
97,08892,26000,0,3637020,4118850,3740320,6309495,6185555,4612931,1,0,1,1,1,1,1,1
98,09034,0,0,15800,885620,6277140,10160329,9134410,13016460,0,0,1,1,1,1,1,1
99,09057,0,39000,30700,109550,1188931,2073150,2426670,1746243,0,1,1,1,1,1,1,1
100,09139,13843360,14621110,11780440,15574670,12345880,10615190,10034910,0,1,1,1,1,1,1,1,0
101,09336,2825610,3407140,1766090,9893630,8219430,2102150,523450,0,1,1,1,1,1,1,1,0
102,09338,0,195200,1130120,1509950,2215210,1774720,2457830,939410,0,1,1,1,1,1,1,1
103,09524,0,0,2153410,2832479,3112265,4252727,5523842,4903867,0,0,1,1,1,1,1,1
104,09550,148000,0,268300,1130300,3382570,1668520,1712616,2072690,1,0,1,1,1,1,1,1
105,09552,176040,10000,85500,0,43000,275000,241520,962100,1,1,1,0,1,1,1,1
106,09557,36240,0,0,701529,977273,1097330,1395374,1069166,1,0,0,1,1,1,1,1
107,09566,79800,0,0,815668,3481776,3157487,1852508,2355404,1,0,0,1,1,1,1,1
108,09610,0,468180,462280,3162636,16411420,4763480,1228240,2190800,0,1,1,1,1,1,1,1
109,09640,0,308432,1820497,1594715,1518282,1081704,1155653,1286467,0,1,1,1,1,1,1,1
110,09646,0,3104750,1841770,2296770,1823890,2240352,2245927,1950153,0,1,1,1,1,1,1,1
111,09674,58280,0,595940,1518972,1059338,1217257,1066836,686120,1,0,1,1,1,1,1,1
112,09735,143980,0,98190,247780,397867,476690,72710,317800,1,0,1,1,1,1,1,1
113,09763,0,311700,366980,581810,731780,1478110,1505520,1057150,0,1,1,1,1,1,1,1
114,09765,0,0,99000,1577150,245400,18951580,81613909,67340650,0,0,1,1,1,1,1,1
115,09766,0,3015818,8828850,8674398,14142015,15688576,21965701,5670938,0,1,1,1,1,1,1,1
116,09769,0,80350,193860,524310,793334,804997,1125785,1231102,0,1,1,1,1,1,1,1
117,09780,0,2352209,2258248,3300627,1602644,1754804,2057946,932914,0,1,1,1,1,1,1,1
118,09813,0,0,0,0,39600,0,0,655590,0,0,0,0,1,0,0,1
119,09847,957040,0,9500,532550,88150,250090,293420,283260,1,0,1,1,1,1,1,1
120,09878,0,0,199600,181280,184500,281570,540000,863600,0,0,1,1,1,1,1,1
121,09888,0,5360840,4825600,5248090,8712550,15573286,6818160,4301570,0,1,1,1,1,1,1,1
122,09972,115042,411000,59000,0,0,833400,48000,940300,1,1,1,0,0,1,1,1
123,09979,724316,1080364,755992,1010411,1839678,712599,0,567753,1,1,1,1,1,1,0,1
124,10001,90892,593825,1407898,918956,7000,0,18400,19800,1,1,1,1,1,0,1,1
125,10082,466910,1967830,16200,0,1217260,1116500,331160,0,1,1,1,0,1,1,1,0
126,10120,89840,0,18980,0,319960,129000,149552,0,1,0,1,0,1,1,1,0
127,10217,0,0,3000,2000,0,4862789,2472230,13722030,0,0,1,1,0,1,1,1
128,10317,118470,45000,230000,853450,84650,52640,430799,0,1,1,1,1,1,1,1,0
129,10345,33380,20170,8040,0,0,0,2000,117000,1,1,1,0,0,0,1,1
130,10400,2915840,5590260,2684390,6851150,3501490,1862280,0,5940,1,1,1,1,1,1,0,1
131,10427,28400,0,0,0,137061,94850,845117,1276260,1,0,0,0,1,1,1,1
132,10465,9849301,19104369,21511939,0,8166041,12751231,21521986,5244335,1,1,1,0,1,1,1,1
133,10490,0,0,0,513140,559823,603640,728076,442754,0,0,0,1,1,1,1,1
134,10613,0,0,0,71000,0,0,0,0,0,0,0,1,0,0,0,0
135,10695,0,0,0,0,144600,20200,5100,263760,0,0,0,0,1,1,1,1
136,10718,0,25800,0,0,0,0,0,433380,0,1,0,0,0,0,0,1
137,10859,28693060,125628160,53332090,10030550,27060100,78300,0,6018500,1,1,1,1,1,1,0,1
138,10860,0,720546,1238027,1405718,1303188,1906179,2344726,3226347,0,1,1,1,1,1,1,1
139,10900,7654350,1559850,2607200,2049240,2289890,2397230,13000,0,1,1,1,1,1,1,1,0
140,11023,271600,237000,0,291700,0,347390,0,25400,1,1,0,1,0,1,0,1
141,11050,0,0,886450,3805420,2307070,1629210,2597920,4006080,0,0,1,1,1,1,1,1
142,11072,63940,0,62990,155320,0,392430,10680,9600,1,0,1,1,0,1,1,1
143,11085,3060130,1737868,2585895,793330,0,235810,229710,64500,1,1,1,1,0,1,1,1
144,11195,0,0,111800,0,0,3242350,21353910,18561340,0,0,1,0,0,1,1,1
145,11227,3450,0,0,129200,0,402100,128000,614430,1,0,0,1,0,1,1,1
146,11257,125020,0,1020880,4865040,1102142,6837020,9984633,7516532,1,0,1,1,1,1,1,1
147,11308,867319,1515970,1552569,1374890,2025330,292700,0,194560,1,1,1,1,1,1,0,1
148,11461,0,642800,2863790,3396697,2244370,3833522,13973450,16192390,0,1,1,1,1,1,1,1
149,11542,0,0,1114540,2252393,2255418,1636120,1742786,1142340,0,0,1,1,1,1,1,1
150,11576,0,375000,0,146040,280270,736900,625800,1078130,0,1,0,1,1,1,1,1
151,11631,0,0,787460,7935386,4426456,6072076,6698181,5397002,0,0,1,1,1,1,1,1
152,11654,174000,0,390530,837160,876340,1851190,1530610,1615160,1,0,1,1,1,1,1,1
153,11727,0,0,180200,3103242,3814338,3122703,3743265,1925189,0,0,1,1,1,1,1,1
154,11858,105900,0,3200,0,21000,0,0,0,1,0,1,0,1,0,0,0
155,11868,666500,961130,1246570,796285,629270,0,156140,4122590,1,1,1,1,1,0,1,1
156,11894,0,68270,24860,30766,41840,252220,827970,153680,0,1,1,1,1,1,1,1
157,11951,0,204980,628930,1515581,1957409,2528074,2174779,1898754,0,1,1,1,1,1,1,1
158,12077,0,0,0,0,0,50000,0,0,0,0,0,0,0,1,0,0
159,12136,87386,0,120420,102240,0,174730,958700,452994,1,0,1,1,0,1,1,1
160,12166,0,0,224003,981976,1723714,1514260,2592895,1931621,0,0,1,1,1,1,1,1
161,12182,0,0,77717,4318646,3098498,2407916,1978242,2814318,0,0,1,1,1,1,1,1
162,12242,0,0,0,879120,1036100,652630,842640,702230,0,0,0,1,1,1,1,1
163,12253,741870,1963870,1929310,1952986,2258496,248590,42180,0,1,1,1,1,1,1,1,0
164,12274,0,795348,1041163,1023663,1178449,1236941,1315382,906827,0,1,1,1,1,1,1,1
165,12291,0,151700,142900,58880,619113,1075475,3109528,1844360,0,1,1,1,1,1,1,1
166,12391,0,0,0,0,10000,204200,432110,770980,0,0,0,0,1,1,1,1
167,12393,56800,0,364810,540480,447760,734400,176950,121250,1,0,1,1,1,1,1,1
168,12455,0,12700,0,0,53500,6988220,16888210,15007130,0,1,0,0,1,1,1,1
169,12489,0,294350,1955828,2000236,3462896,2418480,3027894,1763340,0,1,1,1,1,1,1,1
170,12493,0,0,0,349120,308600,1121650,858040,1547640,0,0,0,1,1,1,1,1
171,12598,0,172572,543230,529958,216560,348650,307410,651101,0,1,1,1,1,1,1,1
172,12627,0,808500,1289050,1150900,734930,939720,580980,422003,0,1,1,1,1,1,1,1
173,12689,1076260,1670988,116580,0,1801500,1484310,1156170,2052440,1,1,1,0,1,1,1,1
174,12704,115303,0,0,413600,290000,7000,0,149000,1,0,0,1,1,1,0,1
175,12790,529650,150484,99000,559700,18500,0,1607470,1469940,1,1,1,1,1,0,1,1
176,12819,0,0,0,0,0,919563,7466380,6935429,0,0,0,0,0,1,1,1
177,12823,0,112060,3635530,16110523,1169900,4066010,3173560,1777320,0,1,1,1,1,1,1,1
178,12881,5250,0,0,0,0,0,1116100,1421437,1,0,0,0,0,0,1,1
179,13117,0,0,0,0,0,915430,1044060,2036890,0,0,0,0,0,1,1,1
180,13143,0,0,182188,696810,825240,1052491,1426940,1914859,0,0,1,1,1,1,1,1
181,13193,0,784820,2464087,2859791,3549320,2014437,2007448,265546,0,1,1,1,1,1,1,1
182,13309,57524,31140,82700,19900,0,0,0,0,1,1,1,1,0,0,0,0
183,13344,0,0,257710,362840,688716,942178,2247542,2479465,0,0,1,1,1,1,1,1
184,13349,125100,341500,304430,1157890,186000,0,0,217500,1,1,1,1,1,0,0,1
185,13355,0,618190,414290,584480,709590,896240,631600,1454940,0,1,1,1,1,1,1,1
186,13460,0,0,142600,79050,0,399000,1769270,1842100,0,0,1,1,0,1,1,1
187,13486,11500,8200,0,18000,0,0,0,0,1,1,0,1,0,0,0,0
188,13617,323000,0,420030,650000,371300,69000,90000,63750,1,0,1,1,1,1,1,1
189,13623,0,814600,904790,1412576,2512160,2785907,1727761,2219706,0,1,1,1,1,1,1,1
190,13643,0,0,0,0,232560,348540,281240,334060,0,0,0,0,1,1,1,1
191,13703,0,0,307380,1162811,1500666,1538955,1220740,1404634,0,0,1,1,1,1,1,1
192,13719,0,0,66500,368400,750722,1615410,1498250,2913550,0,0,1,1,1,1,1,1
193,13730,18000,49900,0,90820,24600,12170,0,147900,1,1,0,1,1,1,0,1
194,13735,115000,2497040,932000,349000,0,0,712350,2129410,1,1,1,1,0,0,1,1
195,13769,0,0,0,0,0,429890,1844840,732700,0,0,0,0,0,1,1,1
196,13792,1211384,1307608,872750,650224,852750,440860,0,70800,1,1,1,1,1,1,0,1
197,13802,0,354500,153400,231310,705690,196420,219030,135140,0,1,1,1,1,1,1,1
198,13824,76180,113840,287755,1057400,178780,347700,0,0,1,1,1,1,1,1,0,0
199,13961,0,578590,360510,887450,1323120,1609660,1080300,928960,0,1,1,1,1,1,1,1
200,13983,117080,477000,274470,46000,17680,51000,256300,0,1,1,1,1,1,1,1,0
201,13999,0,331270,861154,806172,1156752,1461300,1613068,2515742,0,1,1,1,1,1,1,1
202,14018,0,19000,93900,2013000,2619800,3484440,2249620,2791100,0,1,1,1,1,1,1,1
203,14030,0,799677,1353294,715727,1215606,1643179,1115392,2275316,0,1,1,1,1,1,1,1
204,14079,229354,129804,133110,108330,0,626760,1274140,1851251,1,1,1,1,0,1,1,1
205,14121,0,0,13500,34900,903530,970230,148170,391463,0,0,1,1,1,1,1,1
206,14151,151090,709200,1352520,487800,0,508360,487810,0,1,1,1,1,0,1,1,0
207,14216,0,0,1990,1889233,8639640,11050977,7519930,7730179,0,0,1,1,1,1,1,1
208,14258,0,0,0,316160,650510,822590,1180540,1394276,0,0,0,1,1,1,1,1
209,14366,3515280,2102680,4450750,4282068,2108040,0,93480,974900,1,1,1,1,1,0,1,1
210,14370,125350,27250,159800,0,49000,0,0,3900,1,1,1,0,1,0,0,1
211,14405,0,904400,2584014,377703,364180,150054,401240,635530,0,1,1,1,1,1,1,1
212,14407,0,0,0,3391660,3392124,3161776,1868993,2382931,0,0,0,1,1,1,1,1
213,14473,0,145080,1174208,1021617,879462,1749229,1904926,2008872,0,1,1,1,1,1,1,1
214,14553,4161290,795380,0,468680,0,369800,598000,26000,1,1,0,1,0,1,1,1
215,14627,0,1706380,225692,528930,688190,942499,938776,1191584,0,1,1,1,1,1,1,1
216,14667,0,0,9900,0,188000,0,0,0,0,0,1,0,1,0,0,0
217,14673,603820,704420,0,293300,1009700,2101270,153900,645900,1,1,0,1,1,1,1,1
218,14687,0,0,0,35000,54000,201730,360090,165186,0,0,0,1,1,1,1,1
219,14698,0,0,0,0,0,1000,26831540,77178780,0,0,0,0,0,1,1,1
220,14724,0,68900,69140,10060,0,25800,0,7000,0,1,1,1,0,1,0,1
221,14725,99000,0,78000,7500,50880,542744,1521981,1887046,1,0,1,1,1,1,1,1
222,14732,0,0,230210,960350,745780,1147305,922490,468872,0,0,1,1,1,1,1,1
223,14752,0,724222,1180310,2126078,5034517,4253299,5068679,6875546,0,1,1,1,1,1,1,1
224,14756,248510,9000,10280,313260,403040,0,173250,0,1,1,1,1,1,0,1,0
225,14829,20961970,18418240,6890510,24412780,0,4317100,2424300,79550,1,1,1,1,0,1,1,1
226,14843,0,176821,246940,767270,788590,760770,665230,907360,0,1,1,1,1,1,1,1
227,14860,0,38800,1650,3727185,5754050,3235880,3444980,1690920,0,1,1,1,1,1,1,1
228,14862,0,0,11400,194460,689250,274970,212900,753100,0,0,1,1,1,1,1,1
229,14904,0,90420,2641093,2302740,1666136,4552937,1134869,1062073,0,1,1,1,1,1,1,1
230,14923,0,0,0,585150,1004750,1116410,1530230,834690,0,0,0,1,1,1,1,1
231,14925,0,0,0,804920,528210,880170,579850,301150,0,0,0,1,1,1,1,1
232,15000,97000,52870,101770,3770,8090,0,354760,229860,1,1,1,1,1,0,1,1
233,15040,55128,0,217080,355500,20000,0,0,0,1,0,1,1,1,0,0,0
234,15042,23030,7230,0,1700,5830,7740,53890,13000,1,1,0,1,1,1,1,1
235,15045,0,190200,44900,18750,220020,277840,205440,154100,0,1,1,1,1,1,1,1
236,15048,222314,0,0,0,0,0,160300,0,1,0,0,0,0,0,1,0
237,15055,12157110,38689220,28885750,28970880,28545130,22323140,178600,0,1,1,1,1,1,1,1,0
238,15075,61600,32800,20000,0,37600,550740,611110,978900,1,1,1,0,1,1,1,1
239,15076,0,160250,130590,684240,926500,734380,591030,691180,0,1,1,1,1,1,1,1
240,15098,0,0,0,345410,1871584,2049175,2460222,1858815,0,0,0,1,1,1,1,1
241,15100,0,77720,411270,517540,158430,223250,199720,378680,0,1,1,1,1,1,1,1
242,15106,0,0,1466122,1699104,1937127,1677204,1260330,892418,0,0,1,1,1,1,1,1
243,15157,0,0,103240,2122630,4377550,8637267,3447110,3525510,0,0,1,1,1,1,1,1
244,15179,185500,493990,0,200300,337750,6670881,12088774,3860730,1,1,0,1,1,1,1,1
245,15210,253190,0,50000,731291,217440,19800,7300,0,1,0,1,1,1,1,1,0
246,15302,6190,0,868738,1372693,1045455,1691755,1811623,1698689,1,0,1,1,1,1,1,1
247,15308,3150,8180,0,238600,239550,0,241940,51520,1,1,0,1,1,0,1,1
248,15314,0,0,1320811,1561600,2407930,1329406,2364624,2723581,0,0,1,1,1,1,1,1
249,15351,0,0,276293,1423336,862535,1055040,965789,1517475,0,0,1,1,1,1,1,1
250,15352,0,1974310,6242240,5724190,760940,1057290,8165110,9193380,0,1,1,1,1,1,1,1
251,15381,0,0,723910,572230,789930,578335,2463860,1406052,0,0,1,1,1,1,1,1
252,15402,0,0,0,0,14150,48240,49310,0,0,0,0,0,1,1,1,0
253,15408,0,582516,1065965,1711458,1536061,2409415,1830334,1956823,0,1,1,1,1,1,1,1
254,15411,0,0,0,0,2770,92470,4234500,3804210,0,0,0,0,1,1,1,1
