제품코드,약식품번(제품번호와같이키값으로사용),제품명,규격,"품목자산분류(102201:완제품,102202:반제품,102203:원재료,102204:상품)"
PCA021027605,807082,ARE-580FX(50%)크로아티아P,,102201
PCA031024602,808083,SRE-110콜롬비아,,102201
PEMA003039101,804589,CSA5000석진(음성),,102201
PEMA013000210,806251,PEMA-HR1000가야(인천),,102201
PEMA013002500,780941,PEMA-HR1500경남(사천),PEMA21408B,102201
PEMA013002700,780140,PEMA-HR1000경보(하동),PEMA21492,102201
PEMA013004500,774057,PEMA-HR1000공단(대전),PEMA10022,102201
PEMA013004501,804776,PEMA-HR1500공단(청주),,102201
PEMA013005900,774065,PEMA-HR1000구례(구례),PEMA10184,102201
PEMA013007300,805486,PEMA-HR1500금강(산청),,102201
PEMA013010100,765695,PEMA-HR1000남성(화성),,102201
PEMA013010900,765708,PEMA-HR1000내포(홍성),,102201
PEMA013012300,808358,PEMA-HR1000대덕(담양),,102201
PEMA013012600,773687,CSA5000대동남(익산),CSA10041,102201
PEMA013013010,805956,PEMA-HR1000대동(대구),,102201
PEMA013013100,774129,PEMA-HR1000대림(장성),PEMA11802,102201
PEMA013015800,774153,PEMA-HR1000대연(전주),PEMA10050,102201
PEMA013015900,780246,PEMA-HR1000대영(함안),PEMA21540,102201
PEMA013017200,804138,PEMA-HR1000대원바텍(군산),,102201
PEMA013017400,774161,PEMA-HR1000대원(군산한전주),PEMA11730,102201
PEMA013017800,807297,PEMA-HR1000대진(순창),,102201
PEMA013019100,805987,PEMA-HR1500대호(서산),,102201
PEMA013019701,807755,PEMA-HR1000덕원(춘천),,102201
PEMA013019702,805066,PEMA-HR1000덕원(평택),,102201
PEMA013020100,774217,PEMA-HR1000동국(해남),PEMA21130,102201
PEMA013020300,773732,CSA5000동남(장수),CSA31004,102201
PEMA013020900,774997,PEMA-HR1500동방(전주),PEMA21004H,102201
PEMA013021700,779641,CSA5000동서(부산),CSA11723,102201
PEMA013022400,780297,PEMA-HR1000동아(함안),PEMA31119,102201
PEMA013023005,804819,PEMA-HR1000동양(안양),,102201
PEMA013023009,804314,PEMA-HR1500동양건재(부산),PEMA013023009,102201
PEMA013023013,805837,PEMA-HR1000 동양건재(대구),,102201
PEMA013023016,806331,PEMA-HR1000동양(원주),,102201
PEMA013023500,779675,CSA5000동양산업(김해),CSA10061,102201
PEMA013023700,806652,PEMA-HR1500동양(나주),,102201
PEMA013024500,773759,CSA5000동주(함양),CSA11009C,102201
PEMA013024804,806064,PEMA-PR1000동진파일(서산),,102201
PEMA013026702,765839,PEMA-HR1000모헨즈(천안),,102201
PEMA013028200,775041,PEMA-HR1500바나(여수),PEMA21542,102201
PEMA013029200,804891,CSA4000보림(합천),,102201
PEMA013030400,765898,PEMA-HR1000부국(대전),,102201
PEMA013030401,765901,PEMA-HR1000부국(부천),,102201
PEMA013030801,781214,PEMA-HR1500부일(회동동),PEMA22654,102201
PEMA013031700,807308,CSA5000삼덕(인천),,102201
PEMA013031800,765927,PEMA-HR1000삼덕(평택),,102201
PEMA013032200,774356,PEMA-HR1000삼보(완주),PEMA11004C,102201
PEMA013032302,766381,PEMA-HR1000아세아(수원),,102201
PEMA013032800,806926,PEMA-HR1000삼성(부안),,102201
PEMA013033302,804106,PEMA-PR1000삼성(단촌),,102201
PEMA013033510,806734,PEMA-PR1000삼성(창녕),,102201
PEMA013035303,765978,PEMA-HR1000삼표(성수),,102201
PEMA013035304,765986,PEMA-HR1000삼표(송도),,102201
PEMA013035305,765994,PEMA-HR1000삼표(인천),,102201
PEMA013035306,774401,PEMA-HR1000삼표(청원),PEMA11831,102201
PEMA013035308,804241,PEMA-HR1000삼표(화성),,102201
PEMA013035310,804761,PEMA-HR1000삼표(여주),,102201
PEMA013035311,804924,PEMA-HR1000삼표(안양),,102201
PEMA013035322,806782,PEMA-HR1500삼표(서부산),,102201
PEMA013035700,808835,PEMA-SR2000삼호(담양),,102201
PEMA013036500,766014,PEMA-HR1000상일(포천),,102201
PEMA013037300,766022,PEMA-HR1000서보(평택),,102201
PEMA013038600,806193,PEMA-SR3000F서전(서산),,102201
PEMA013039505,804832,PEMA-HR1000선일(수원),,102201
PEMA013040601,766161,PEMA-HR1000성신(구리),,102201
PEMA013041301,775164,PEMA-HR1500성원(단양),PEMA12792,102201
PEMA013041507,807955,PEMA-HR1000성진도시(화성)구.성진서수원,,102201
PEMA013042200,783391,PEMA-SR3000F삼우(경산),PEMA11298A,102201
PEMA013043200,766225,PEMA-HR1000세진(광주),,102201
PEMA013044801,808783,PEMA-HR1000수강에스디(사천),,102201
PEMA013046101,805361,PEMA-HR1500신우(울산),,102201
PEMA013046500,765089,CSA4000신일(송파),,102201
PEMA013046900,780553,PEMA-HR1000신진(대구),PEMA10308,102201
PEMA013047000,774479,PEMA-HR1000신진(영광),PEMA12686,102201
PEMA013047900,774487,PEMA-HR1000신흥(목포),PEMA21178,102201
PEMA013048000,807891,PEMA-PR2000신흥(김해),,102201
PEMA013048300,765222,CSA5000강산(대산),,102201
PEMA013048505,766313,PEMA-HR1000F/A쌍용(성남),,102201
PEMA013048518,805108,PEMA-HR1500쌍용(서부산-신평),PEMA12653,102201
PEMA013048523,806544,PEMA-HR1000쌍용(의왕),,102201
PEMA013048600,775236,PEMA-HR1500아산(나주),PEMA11287,102201
PEMA013048700,807854,CSA5000아산(당진),,102201
PEMA013048900,805751,PEMA-HR1000아성(남원),,102201
PEMA013049303,804133,PEMA-HR1000아세아(약목),,102201
PEMA013049304,766399,PEMA-HR1000아세아(용인),,102201
PEMA013049402,804639,PEMA-PR10001.5%아이에스(청양),,102201
PEMA013050400,766410,PEMA-HR1000아주(광명),,102201
PEMA013050401,766428,PEMA-HR1000아주(광주),,102201
PEMA013050405,766444,PEMA-HR1000아주(비봉),,102201
PEMA013051100,805493,PEMA-HR1500양지(산청),,102201
PEMA013052200,782663,PEMA-SR2000영남(포항),PEMA11404,102201
PEMA013052400,766479,PEMA-HR1000영산(용인),,102201
PEMA013052401,805158,PEMA-HR1000영산(광주),,102201
PEMA013055600,774516,PEMA-HR1000옥산(옥산),PEMA20401,102201
PEMA013056200,805734,PEMA-HR1000와이앤피(영덕),,102201
PEMA013057200,780043,PEMA-HR1000F/A우경(진주),PEMA31134,102201
PEMA013058500,780650,PEMA-HR1000유성(마산),PEMA21304,102201
PEMA013058602,766591,PEMA-HR1000유진(광주),,102201
PEMA013058606,766621,PEMA-HR1000유진(세종),,102201
PEMA013058608,766655,PEMA-HR1000유진(수원),,102201
PEMA013058613,804308,PEMA-HR1000유진(천안),,102201
PEMA013058620,804943,PEMA-HR1000유진(군산),,102201
PEMA013059605,808765,PEMA-HR1000이순(동두천),,102201
PEMA013060100,766701,PEMA-HR1000인천(인천),,102201
PEMA013060900,774541,PEMA-HR1000일양(영동),PEMA30115,102201
PEMA013060901,807817,PEMA-HR1000일양(양양),,102201
PEMA013061000,766719,PEMA-HR1000일진(양평),,102201
PEMA013061400,805342,PEMA-SR2000장헌(당진),,102201
PEMA013061900,779894,CSA5000정도(울진),CSA12992,102201
PEMA013063800,774567,PEMA-HR1000제일(이서),PEMA11004B,102201
PEMA013064802,804565,PEMA-HR1000주안(계룡),,102201
PEMA013066700,774604,PEMA-HR1000중원(광주),PEMA10462,102201
PEMA013068400,766823,PEMA-HR1000진영(안양),,102201
PEMA013070800,773960,CSA5000청주금성,CSA11721,102201
PEMA013071300,767210,PEMA-HR1500케이와이(인천),,102201
PEMA013072100,804920,PEMA-HR1000태명실업(이천),,102201
PEMA013072101,805474,PEMA-SR3000F태명(천안),,102201
PEMA013072700,779940,CSA5000태양(대구),CSA31278,102201
PEMA013073200,766891,PEMA-HR1000태형(화성),,102201
PEMA013075900,780748,PEMA-HR1000한국(고령),PEMA11480,102201
PEMA013076910,808889,PEMA-SR2000경동(대구),,102201
PEMA013078001,774727,PEMA-HR1000한라(담양),PEMA11813,102201
PEMA013078017,806730,PEMA-HR1000한라(온산),,102201
PEMA013078018,805800,PEMA-HR1000한라(원주),,102201
PEMA013078020,807467,PEMA-HR1000한라엔컴(화성),,102201
PEMA013078800,805911,PEMA-HR1000한성(경산),,102201
PEMA013080012,808834,PEMA-HR1000한일(김포),,102201
PEMA013080109,774743,PEMA-HR1000한일(청주),PEMA31467,102201
PEMA013080110,805781,PEMA-HR1000한일(화성),,102201
PEMA013080117,807620,PEMA-HR1000한일(성남),,102201
PEMA013080600,774751,PEMA-HR1000한진(장성),PEMA11179B,102201
PEMA013081200,775367,PEMA-HR1500해국(노화도),PEMA12666,102201
PEMA013081906,808538,PEMA-SR3000F현대(서울),,102201
PEMA013082100,804749,PEMA-HR1500대원씨앤엠(울산),,102201
PEMA013082500,804255,PEMA-HR1000현대(안성),PEMA10506,102201
PEMA013084200,807634,PEMA-HR1000호서(오수),,102201
PEMA013085100,807512,PEMA-HR1000효신(파주),,102201
PEMA013085300,765521,CSA5000흥국(미사리),,102201
PEMA013085800,808317,PEMA-PR1000흥진(합천),,102201
PEMA013087700,780051,PEMA-HR1000우성기업(진주),,102201
PEMA013089210,806009,PEMA-HR1000고려(공주),,102201
PEMA013089220,806581,PEMA-HR1000고려(천안),,102201
PEMA013089230,806598,PEMA-HR1000고려(서인천),,102201
PEMA013090800,804475,CSA5000장원(인천),,102201
PEMA013091400,804537,PEMA-HR1500호남(여수),PEMA21542,102201
PEMA013091500,804551,CSA5000울산(울산),CSA11785,102201
PEMA013091800,804587,PEMA-PR1000오성(서산),,102201
PEMA013099140,806455,PEMA-HR1000쌍용(평택),,102201
PEMA013099150,806511,PEMA-580FX쌍용(부천),,102201
PEMA013100700,805101,PEMA-HR1000모현(세종),,102201
PEMA013101600,805179,PEMA-HR1000쌍용(춘천),,102201
PEMA013103100,805315,PEMA-HR1000부청(안동),,102201
PEMA013103400,805345,PEMA-HR1000현대(동해),,102201
PEMA013103801,806135,CSA5000에스지이(김포),,102201
PEMA013103910,808301,PEMA-HR1000에스엔엘산업(동해),,102201
PEMA013104200,805450,PEMA-HR1500무창(산청),,102201
PEMA013104400,805463,PEMA-HR1000대안(옥계),,102201
PEMA013105100,805505,CSA5000삼우(경산),,102201
PEMA013105210,805852,PEMA-HR1000삼우(대구),,102201
PEMA013106100,805632,PEMA-HR1000우림(하남),,102201
PEMA013106300,805670,PEMA-HR1000강원(강릉),PEMA11154Q,102201
PEMA013107000,805722,PEMA-HR1500에스비(진해),,102201
PEMA013107101,808309,PEMA-580FX상동(평택)-1팀,,102201
PEMA013107700,805771,CSA5000금강(김포),,102201
PEMA013108400,805857,PEMA-HR1000우신(파주),,102201
PEMA013109400,805892,CSA4000보광(대구),,102201
PEMA013109500,805899,PEMA-HR1000케이엠(포항),,102201
PEMA013109600,805901,CSA4000홈센타(대구),,102201
PEMA013110300,805936,PEMA-SP1000신성콘크리트(경주),,102201
PEMA013111000,805986,PEMA-HR1000씨제이(청주),,102201
PEMA013111300,806021,CSA5000대원(청주),,102201
PEMA013111900,806132,PEMA-HR1500성보(김해),,102201
PEMA013112900,806283,PEMA-HR1000영동(동해),,102201
PEMA013113800,806419,PEMA-580FX영남씨앤씨(경주),,102201
PEMA013114200,806487,PEMA-HR1000뉴그린(여수),,102201
PEMA013114400,806519,PEMA-HR1000한빛(부안),,102201
PEMA013114800,806586,PEMA-HR1000찬우(밀양),,102201
PEMA013114900,806599,PEMA-SR2000대경(군위),,102201
PEMA013115800,806647,PEMA-HR1000일진기업(양평),,102201
PEMA013116100,806726,PEMA-HR1000추부(금산),,102201
PEMA013116420,808422,PEMA-SR2000해양개발(울산),,102201
PEMA013116700,806750,PEMA-HR1000현진(동해),,102201
PEMA013117000,806773,PEMA-HR1000알파(공주),,102201
PEMA013117700,806884,PEMA-HR1000현림수로용,,102201
PEMA013117800,806907,PEMA-HR1000에스피(동서울),,102201
PEMA013117801,807575,PEMA-HR1000에스피(광주),,102201
PEMA013117810,807411,PEMA-HR1000에스피(군산),,102201
PEMA013118500,807027,PEMA-HR1000성창(삼척),,102201
PEMA013118900,807077,PEMA-580FX유니캠(화성),,102201
PEMA013119000,807117,PEMA-HR1000하나(군산),,102201
PEMA013119500,807176,PEMA-HR1000일진(횡성),,102201
PEMA013119700,807219,CSA5000세일(성주),,102201
PEMA013119900,807292,PEMA-HR1000성심(양양),,102201
PEMA013120000,807296,CSA5000상신(성주),,102201
PEMA013120100,807303,PEMA-HR1500성우(영동),,102201
PEMA013120800,807473,PEMA-HR1000화남(영덕),,102201
PEMA013120900,807475,PEMA-HR1000녹색(영덕),,102201
PEMA013121600,807550,PEMA-HR1000원신(파주),,102201
PEMA013121910,808337,PEMA-HR1000하주(동해),,102201
PEMA013122400,807697,PEMA-HR1000성진(부산),,102201
PEMA013122500,807740,PEMA-HR1000영동(고성),,102201
PEMA013122800,807768,CSA5000와룡(안동),,102201
PEMA013123000,807806,PEMA-SR2000신공항(인천),,102201
PEMA013123501,808755,PEMA-PCR3000E서문(안산)저가용,,102201
PEMA013124800,808018,PEMA-HR1000한화(포항),,102201
PEMA013125010,808875,PEMA-HR1000디엘이앤씨(포항),,102201
PEMA013125500,808031,PEMA-HR1000명진(논산),,102201
PEMA013125600,808037,CSA5000케이씨(여주),,102201
PEMA013125900,808076,PEMA-SP1000홍지(이천),,102201
PEMA013126100,808108,CSA5000서호(태안),,102201
PEMA013126200,808112,PEMA-580FX케이알(음성),,102201
PEMA013126600,808226,PEMA-HR1000현대콘(목포),,102201
PEMA013126700,808280,PEMA-HR1500합천(합천),,102201
PEMA013127100,808386,PEMA-HR1500서벽(경주),,102201
PEMA013127700,808372,PEMA-HR1000남도(광주),,102201
PEMA013128300,808438,PEMA-HR1000경연(원주),,102201
PEMA013128400,808540,PEMA-HR1500케이세웅(충주),,102201
PEMA013128700,808458,CSA5000 은성(천안),,102201
PEMA013129300,808637,PEMA-HR1500항도렉스콘(양산),,102201
PEMA013129600,808588,CSA4000대양(청주),,102201
PEMA013129800,808622,PEMA-PR1000삼일(용인),,102201
PEMA013129802,808627,PEMA-PR1000삼일(칠서),,102201
PEMA013129803,808761,PEMA-PR2000삼일(부여),,102201
PEMA013130300,808699,CSA5000선우(서산),,102201
PEMA013130400,808710,PEMA-PR2000영풍(음성),,102201
PEMA013130800,808763,PEMA-HR1000양양(양양),,102201
PEMA013131000,808781,PEMA-PR2000휴먼이엔티(천안),,102201
PEMA013131100,808788,PEMA-HR1000황원(고성),,102201
PEMA013131200,808789,CSA5000삼기(인천),,102201
PEMA013132000,808912,PEMA-HR1000 동성(포항),,102201
PEMA013132400,808898,PEMA-HR1000 삼화알엠씨(양주),,102201
PEMA013132700,808972,PEMA-SR2000 나라(서산),,102201
PEMA013132701,809029,PEMA-HR1500 나라(서산),,102201
PEMA013133000,808958,PEMA-PCR3000N 여흥(서울),,102201
PEMA013133200,808976,PEMA-SR2000 경도(경주),,102201
PEMA013133400,808990,CSA5000 창원(하동),,102201
PEMA013901100,804552,PEMA-HR1500산하(청주),,102201
PEMA013901300,804756,PEMA-HR1000강남(여주),,102201
PEMA013901301,804857,PEMA-SR5000F강남건영(여주2),,102201
PEMA013901520,805211,PEMA-PR1000동양파일(아산),,102201
PEMA013901600,805209,PEMA-PR1000동양파일(함안),,102201
PEMA023000210,806685,PEMA-HR1500가야(인천),,102201
PEMA023001000,765231,CSA5000강원(인천),,102201
PEMA023001400,774815,PEMA-HR1500거산(임실),PEMA22664,102201
PEMA023001800,808459,CSA5000건설(의정부),,102201
PEMA023002000,804766,CSA5000건설(수원),,102201
PEMA023002600,804199,PEMA-SR3000F경동(부산),,102201
PEMA023005600,806061,PEMA-HR1000광주알엠씨(장성),,102201
PEMA023006200,808621,CSA5000국광(천안),,102201
PEMA023006300,806889,PEMA-HR1000국민(용인),,102201
PEMA023006800,780983,PEMA-HR1500극동(사천),PEMA11462,102201
PEMA023007400,806231,CSA5000금남(여수),,102201
PEMA023008000,805663,PEMA-HR1000금오(구미),PEMA10097,102201
PEMA023011300,804538,PEMA-HR1000뉴신화(여수),,102201
PEMA023013000,783105,PEMA-SR3000F대동(대구),PEMA20043,102201
PEMA023014200,807471,PEMA-SR2000대성(울산),,102201
PEMA023019800,805067,PEMA-PR1000도봉(여주),,102201
PEMA023022400,781089,PEMA-HR1500동아(함안),PEMA21119,102201
PEMA023024000,808766,CSA5000동원(옥천),,102201
PEMA023024101,806019,CSA5000동원(청주),,102201
PEMA023024801,765783,PEMA-HR1000동진(수원),,102201
PEMA023024802,804139,PEMA-HR1000동진(음성),,102201
PEMA023024804,806676,PEMA-PR2000동진파일(서산),,102201
PEMA023026300,775025,PEMA-HR1500만수(정읍),PEMA30071,102201
PEMA023026700,765812,PEMA-HR1000모헨즈(당진),,102201
PEMA023027100,807577,PEMA-SR3000F미래(나주),,102201
PEMA023030002,805974,PEMA-SR2000부강(대전),,102201
PEMA023030801,783367,PEMA-SR3000F부일(회동동),PEMA12654,102201
PEMA023031200,780414,PEMA-HR1000산양(진해),PEMA10080,102201
PEMA023031400,807530,PEMA-SR2000산하(덕소),,102201
PEMA023031800,806500,PEMA-HR1500삼덕(평택),,102201
PEMA023032100,805422,PEMA-HR1500삼보(함안),PEMA11449,102201
PEMA023033303,804500,PEMA-PR1000삼성(문경),,102201
PEMA023033600,774381,PEMA-HR1000삼성(정읍),PEMA31286,102201
PEMA023034201,808700,PEMA-HR1000삼양(남양주),,102201
PEMA023035303,768491,PEMA-SR3000F삼표(성수),,102201
PEMA023035307,808517,PEMA-HR1500삼표(풍납),,102201
PEMA023035314,808124,CSA5000삼표(남부),,102201
PEMA023035315,808272,CSA5000삼표(오산),,102201
PEMA023037900,808176,CSA5000서우(서산),,102201
PEMA023038000,808150,CSA5000서원(태안),,102201
PEMA023039000,808661,CSA5000석문(당진),,102201
PEMA023039502,804340,PEMA-HR1000선일(안양),,102201
PEMA023040605,804056,CSA5000성신(용인),,102201
PEMA023041301,806583,PEMA-SR2000성원(단양),,102201
PEMA023041503,766196,PEMA-HR1000성진(천안),,102201
PEMA023041507,809025,PEMA-SR3000F 슬럼프용 성진도시(화성),,102201
PEMA023043210,806306,CSA4000세진(화성),,102201
PEMA023045801,806163,PEMA-PR2000신아(영동),,102201
PEMA023046501,804208,PEMA-HR1000신일(아산),,102201
PEMA023048506,766321,PEMA-HR1000쌍용(용인),,102201
PEMA023048701,808375,CSA5000아산(아산),,102201
PEMA023048800,775244,PEMA-HR1500아산(순천),PEMA21758,102201
PEMA023052200,805080,PEMA-CSA5000영남(포항),PEMA11404,102201
PEMA023054200,807594,PEMA-HR1000영화(경주),,102201
PEMA023054400,808957,CSA5000 예일(예산),,102201
PEMA023056800,780107,PEMA-HR1000OPC우경(진주),PEMA41163,102201
PEMA023058200,805083,PEMA-HR1000유니온(포항),PEMA11618,102201
PEMA023058600,773206,PEMA-500FR유진(강서),,102201
PEMA023058603,806017,PEMA-HR1000유진(동서울),,102201
PEMA023058605,804346,PEMA-HR1000유진(서인천),,102201
