제품코드,약식품번(제품번호와같이키값으로사용),제품명,규격,"품목자산분류(102201:완제품,102202:반제품,102203:원재료,102204:상품)"
PEMA023058622,808663,PEMA-HR1000유진(나주),,102201
PEMA023061000,804590,PEMA-HR1500일진(양평),,102201
PEMA023061900,804664,PEMA-HR1000정도(울진),,102201
PEMA023064500,805957,PEMA-HR1000조양(여수),,102201
PEMA023068500,808896,PEMA-HR1500 진일(양산),,102201
PEMA023069403,805165,PEMA-HR1000천마(홍성),,102201
PEMA023071000,805373,PEMA-SR3000F충주산업(충주),,102201
PEMA023074200,774680,PEMA-HR1000팔마(완주),PEMA20438,102201
PEMA023074700,807770,PEMA-HR1000푸른(장흥),,102201
PEMA023076500,805681,PEMA-HR1000한국(예천),,102201
PEMA023076910,808890,CSA5000경동(대구),,102201
PEMA023077800,806974,PEMA-HR1000한덕(천안),,102201
PEMA023078017,808401,PEMA-HR1500한라(온산),,102201
PEMA023080008,808715,PEMA-PCM2000한일(평택),,102201
PEMA023080100,783666,PEMA-SR3000F한일(대구),PEMA11439,102201
PEMA023080800,808027,PEMA-HR1500한진(김해),,102201
PEMA023083401,807307,PEMA-HR1000한양(무안),,102201
PEMA023083500,804871,PEMA-HR1000현림(평창),,102201
PEMA023087900,805144,PEMA-HR1500윤성(하빈),,102201
PEMA023089240,808405,CSA5000고려(당진),,102201
PEMA023091600,808238,CSA5000태성(계룡),,102201
PEMA023092101,807328,PEMA-HR1500도현(양산),,102201
PEMA023092200,804810,PEMA-HR1500항도렉스콘(부산),,102201
PEMA023098200,805334,PEMA-580FX세림켐텍,,102201
PEMA023099800,805009,PEMA-HR1000영진(경주),,102201
PEMA023100500,807628,PEMA-HR1000대성(장흥),,102201
PEMA023100800,805105,PEMA-HR1000대종(경주),,102201
PEMA023101600,807720,PEMA-SR3000F쌍용(춘천),,102201
PEMA023103700,808994,CSA5000 고려(화성),,102201
PEMA023104400,808195,PEMA-HR1500대안(옥계),,102201
PEMA023105100,805829,PEMA-HR1000삼우(경산),,102201
PEMA023105210,805853,CSA5000삼우(대구),,102201
PEMA023106100,805633,PEMA-SR3000F우림(하남),,102201
PEMA023106900,806142,CSA5000동원(세종),,102201
PEMA023109400,806904,PEMA-HR1000보광(대구),,102201
PEMA023109700,806106,PEMA-HR1000우진(경주),,102201
PEMA023110500,805953,PEMA-HR1500신아(울산),,102201
PEMA023111400,806030,PEMA-HR1000남부(화순),,102201
PEMA023112800,806332,CSA5000선진(여주),,102201
PEMA023113300,808161,PEMA-HR1500동명(울산),,102201
PEMA023114700,808284,PEMA-HR1500대성(밀양),,102201
PEMA023117000,807334,PEMA-SR3000F알파(공주),,102201
PEMA023117800,808999,PEMA-SR3000F 에스피(동서울),,102201
PEMA023117801,768191,PEMA-SR2000A에스피(광주),,102201
PEMA023118900,807078,SRE-110유니캠(화성),,102201
PEMA023120100,807586,PEMA-SR2000 성우(영동),,102201
PEMA023121400,807999,PEMA-HR1000유덕(춘천),,102201
PEMA023122400,807698,PEMA-SR2000성진(부산),,102201
PEMA023123000,807826,PEMA-CR1000신공항(인천),,102201
PEMA023123200,808601,PEMA-HR1000선진(함안),,102201
PEMA023124800,808019,PEMA-SR3000F한화(포항),,102201
PEMA023125100,808021,PEMA-HR1500홍성(산청),,102201
PEMA023125200,808023,PEMA-HR1500세진(부산),,102201
PEMA023126100,808243,PEMA-HR1000서호(태안),,102201
PEMA023126700,808281,PEMA-HR1500일반용합천(합천),,102201
PEMA023129500,808885,PEMA-HR1500두원(순천),,102201
PEMA023129801,808625,PEMA-PR1000삼일(충주),,102201
PEMA023132100,808877,PEMA-SP1000대보(합천),,102201
PEMA023133200,809022,CSA5000 경도(경주),,102201
PEMA023901510,805213,PEMA-PR2000동양파일(익산),,102201
PEMA03087900,805419,PEMA-SR2000윤성(하빈),PEMA11605,102201
PEMA033002600,804300,PEMA-HR1500경동(부산),,102201
PEMA033003100,804928,CSA5000경인(인천),,102201
PEMA033006000,805942,PEMA-HR1000구미(구미),,102201
PEMA033006300,807566,PEMA-SR3000F국민(용인),,102201
PEMA033006900,781003,PEMA-HR1500대상(의령),PEMA11706,102201
PEMA033007400,808883,PEMA-SR3000F금남(여수),,102201
PEMA033008200,808964,PEMA-HR1000 금정(남원),,102201
PEMA033009000,774090,PEMA-HR1000나성(나주),PEMA11720,102201
PEMA033014200,808213,PEMA-HR1500대성(울산),,102201
PEMA033015600,783164,PEMA-SR3000F대양(양산),PEMA11535,102201
PEMA033021700,781071,PEMA-HR1500동서(부산),PEMA21723,102201
PEMA033023004,804383,CSA5000동양(아산),,102201
PEMA033023006,804712,PEMA-SR3000F동양(정관),,102201
PEMA033023200,805514,PEMA-SR3000F동양(광주),,102201
PEMA033023500,781126,PEMA-HR1500동양산업(김해),PEMA40061,102201
PEMA033027400,781169,PEMA-HR1500미륭(부산),PEMA31529,102201
PEMA033028900,808842,PEMA-HR1000보광(장동),,102201
PEMA033030002,807032,PEMA-HR1000부강(대전),,102201
PEMA033030400,804856,CSA4000부국(대전),,102201
PEMA033030500,781193,PEMA-HR1500부산(부산),PEMA51265,102201
PEMA033031600,808085,CSA5000미래(평택),,102201
PEMA033035303,808906,CSA5000 삼표(성수),,102201
PEMA033035307,808518,CSA5000삼표(풍납),,102201
PEMA033035309,808283,CSA5000삼표(용인),,102201
PEMA033035315,808831,PEMA-HR1500삼표(오산),,102201
PEMA033038100,808121,CSA5000서인(서산),,102201
PEMA033040000,808611,PEMA-580FX성보넥스코(남원),,102201
PEMA033040300,806741,PEMA-CR1000성신(공주),,102201
PEMA033041000,808575,PEMA-HR1000성원(완주),,102201
PEMA033041500,804207,PEMA-HR1000성진(동탄),,102201
PEMA033041501,768618,PEMA-SR3000F성진(인천),,102201
PEMA033042801,807547,PEMA-HR1000세종(화성),,102201
PEMA033043200,806499,PEMA-SR2000세진(광주),,102201
PEMA033043500,804997,PEMA-HR1000세화(안산),,102201
PEMA033045300,806110,PEMA-SR2000신성(화순),,102201
PEMA033046500,766284,PEMA-HR1000신일(송파),,102201
PEMA033048300,765329,CSA5000서산(서산),,102201
PEMA033049301,808282,PEMA-SR2000아세아(안양),,102201
PEMA033058615,808730,PEMA-PCM2000유진(평택),,102201
PEMA033060200,807023,PEMA-HR1500일강(해남),,102201
PEMA033061000,807553,PEMA-SR2000일진(양평),,102201
PEMA033063700,805758,PEMA-HR1000제일(포항),,102201
PEMA033067600,804550,PEMA-HR1000진남(여수),,102201
PEMA033072700,782823,PEMA-SR2000태양(대구),PEMA21278,102201
PEMA033074100,806762,PEMA-580FX파워텍(음성),,102201
PEMA033078012,766954,PEMA-HR1000한라(천안),,102201
PEMA033078017,808816,PEMA-SR2000한라(온산),,102201
PEMA033079200,804758,PEMA-HR1000한양(대구),,102201
PEMA033080100,805793,PEMA-HR1000한일(대구),,102201
PEMA033082100,808153,PEMA-SR2000대원씨엔엠(울산),,102201
PEMA033084300,808919,PEMA-HR1500 호성(순천),,102201
PEMA033085300,769160,PEMA-SR3000F흥국(미사리),,102201
PEMA033088300,804357,PEMA-HR1000성진(안양),,102201
PEMA033090200,807862,PEMA-HR1000남원(남원),,102201
PEMA033090700,804479,SRE-200삼영씨앤텍(양주),PEMA30269,102201
PEMA033090900,809024,PEMA-HR1000 남신(남원),,102201
PEMA033091500,805839,PEMA-HR1000울산(울산),,102201
PEMA033099600,807639,PEMA-HR1000삼성(남원),,102201
PEMA033101400,808193,PEMA-580FX하나(금산),,102201
PEMA033103000,808469,PEMA-580FX미래(담양),,102201
PEMA033105800,808974,PEMA-HR1500 대동(영양),,102201
PEMA033109400,808592,PEMA-SR3000F보광(대구),,102201
PEMA033109700,806453,CSA5000우진(경주),,102201
PEMA033114500,808039,CSA5000우리도시(안성),,102201
PEMA033117000,809004,PEMA-HR1500 알파(공주),,102201
PEMA033120100,809028,PEMA-SR3000F 성우(영동),,102201
PEMA033120700,808138,CSA5000삼일(안성),,102201
PEMA033125000,808180,PEMA-SR3000F세진(부산),,102201
PEMA033126700,808389,PEMA-SR2000합천(합천),,102201
PEMA033127000,808331,PEMA-HR1000F/A15%창원(창원),,102201
PEMA043001000,808307,PEMA-SR3000F강원(인천),,102201
PEMA043001100,780238,PEMA-HR1000대신(동해),PEMA311543,102201
PEMA043005600,808439,PEMA-SR2000광주알엠씨(장성),,102201
PEMA043011800,808051,PEMA-HR1500대경(순천),,102201
PEMA043014900,807454,PEMA-HR1000대신(군산),,102201
PEMA043015600,807290,CSA5000대양(양산)F/A,,102201
PEMA043019000,774188,PEMA-HR1000대호(군산),PEMA40003,102201
PEMA043023001,781118,PEMA-HR1500동양건재(김해),PEMA21128S,102201
PEMA043023200,806008,PEMA-HR1000동양(광주),,102201
PEMA043027100,807874,PEMA-SR2000미래(나주),,102201
PEMA043030401,804245,PEMA-HR1000부국(부천)공기량낮은TYPE,PEMA40075,102201
PEMA043031600,808724,PEMA-PCM2000미래(평택),,102201
PEMA043031800,808698,PEMA-PCM2000삼덕(평택),,102201
PEMA043037801,808950,PEMA-SR2000 서산(서산),,102201
PEMA043040601,804045,CSA5000성신(구리),,102201
PEMA043041501,768651,PEMA-SR3000F슬럼프용성진(인천),,102201
PEMA043041502,804178,PEMA-HR1000성진(화성),,102201
PEMA043041800,804455,PEMA-HR1500세경(진영),,102201
PEMA043042900,806887,CSA5000세종(여주),,102201
PEMA043043200,806677,PEMA-SR2000A세진(광주),,102201
PEMA043043500,806597,PEMA-SR3000F세화(안산),,102201
PEMA043045700,808107,PEMA-HR1500신송(양산),,102201
PEMA043046101,807408,PEMA-SR2000신우(울산),,102201
PEMA043046500,768685,PEMA-SR3000F신일(송파),,102201
PEMA043048500,808344,PEMA-HR1500쌍용(광주),,102201
PEMA043048519,808228,PEMA-HR1500쌍용(울산),,102201
PEMA043049101,805312,PEMA-HR1500아세아(아산),,102201
PEMA043060400,808884,PEMA-HR1500일성(순천),,102201
PEMA043061100,805228,PEMA-HR1500장안(정관),,102201
PEMA043062000,805798,PEMA-SR2000정선(광주),,102201
PEMA043062007,808828,PEMA-SR2000정선(의정부),,102201
PEMA043062600,808430,PEMA-HR1500배방(아산),,102201
PEMA043066700,807276,PEMA-SR2000중원(광주),,102201
PEMA043067600,808886,PEMA-SR3000F진남(여수),,102201
PEMA043069400,807472,CSA5000천마(광주),,102201
PEMA043069401,769039,PEMA-SR3000F천마(서울),,102201
PEMA043069403,807039,CSA5000천마(홍성),,102201
PEMA043070800,776360,PEMA-SR3000F청주금성(청원),PEMA31721,102201
PEMA043072100,806386,PEMA-SR3000F태명(이천),,102201
PEMA043072101,808092,PEMA-SR5000F태명(천안),,102201
PEMA043077300,804993,PEMA-HR1000한기(연기),,102201
PEMA043078008,807322,PEMA-HR1000한라(여주),,102201
PEMA043078010,809026,PEMA-HR1000S 한라(용인),,102201
PEMA043080115,808640,PEMA-SR2000한일(대구),PEMA10094,102201
PEMA043080500,808868,PEMA-SR2000한진(울산),,102201
PEMA043080700,804843,CSA5000한진(화순),,102201
PEMA043090700,808610,PEMA-580FX삼영씨앤텍(양주),,102201
PEMA043091500,807310,PEMA-SR2000울산(울산),,102201
PEMA043099300,807857,CSA5000대왕(안성),,102201
PEMA043099800,806454,CSA5000영진(경주),,102201
PEMA043101200,805225,PEMA-HR1000영진(칠곡),,102201
PEMA043103800,808775,PEMA-SR2000에스지이(인천)구.경인,,102201
PEMA043107900,808370,CSA5000삼성(안성),,102201
PEMA043109600,808752,PEMA-SR3000F홈센타(대구),,102201
PEMA043110500,807387,PEMA-SR2000신아(울산),,102201
PEMA043116900,808738,CSA5000찬우(김해),,102201
PEMA043122100,808110,PEMA-SR2000대아(진천),,102201
PEMA043128800,808904,PEMA-SR3000F 한통(부산),,102201
PEMA053006900,783076,PEMA-SR3000F극동(사천),PEMA21462,102201
PEMA053008700,806071,PEMA-HR1000기영(창녕),,102201
PEMA053013600,807426,PEMA-HR1000대산(군산),,102201
PEMA053021700,783201,PEMA-SR3000F동서(부산),PEMA31723,102201
PEMA053023002,805905,PEMA-HR1000동양(남포항),,102201
PEMA053030401,804672,CSA4000부국(부천),,102201
PEMA053031200,805425,PEMA-HR1500산양(진해),,102201
PEMA053038600,808271,PEMA-HR1500서전(서산),,102201
PEMA053040700,775156,PEMA-HR1500성안(음성),PEMA21078,102201
PEMA053041500,807543,PEMA-SR2000성진(동탄),,102201
PEMA053041502,808158,PEMA-SR2000성진(화성),,102201
PEMA053046500,805030,PEMA-HR1500신일(송파),,102201
PEMA053048500,808796,PEMA-SR2000A쌍용(광주),,102201
PEMA053048519,808229,PEMA-SR2000쌍용(울산),,102201
PEMA053049403,806822,PEMA-HR1000아이에스(이천),,102201
PEMA053051700,808973,PEMA-HR1000 영광(영광),,102201
PEMA053054200,806565,CSA5000영화(경주),,102201
PEMA053056800,805330,PEMA-HR1500용호(울산),,102201
PEMA053061600,808182,PEMA-HR1500전국(광양),,102201
PEMA053062006,808693,PEMA-SR2000정선(남서울),,102201
PEMA053072101,808754,CSA5000태명실업(천안),,102201
PEMA053103800,808933,PEMA-SR2000A 에스지이(인천) 구.경인,,102201
PEMA053114500,808725,PEMA-PCM2000우리도시(안성),,102201
PEMA053901700,808771,PEMA-HR1500영양(영양),,102201
PEMA063006900,783113,PEMA-SR3000F대상(의령),PEMA21706,102201
PEMA063009000,808400,PEMA-SR2000나성(나주),,102201
PEMA063021700,783746,PEMA-SR5000F동서(부산)-저점성,PEMA11723,102201
PEMA063023200,808797,PEMA-SR2000A동양(광주),,102201
PEMA063024801,808713,PEMA-SR2000A동진(수원),,102201
PEMA063030500,783316,PEMA-SR3000F부산(부산),PEMA61265,102201
PEMA063031400,808308,PEMA-SR3000F산하(덕소),,102201
PEMA063041501,804371,PEMA-HR1000성진(인천),,102201
PEMA063048100,774840,PEMA-HR1500구암(담양),PEMA11637,102201
PEMA063048300,765353,CSA5000석산(당진),,102201
PEMA063057600,779421,CSA5000F/A대현씨엠(김해),CSA21719,102201
PEMA063061300,807627,PEMA-PCM2000장원(남양주),,102201
PEMA063069401,807458,CSA5000천마(서울),,102201
PEMA063078013,806965,PEMA-SR2000한라엔컴(청주),,102201
PEMA063088300,808162,PEMA-SR2000성진(안양),,102201
PEMA073022500,779430,CSA5000F/A승일(함안),CSA11449,102201
PEMA073046501,806752,PEMA-HR1000신일(아산)지연형첨가,,102201
PEMA073050413,806923,PEMA-580FX아주(가좌),,102201
PEMA073061300,807830,PEMA-PCM2000B장원(남양주),,102201
PEMA073072100,808474,CSA4000(PCA)태명실업(이천),,102201
PEMA083017000,808936,CSA5000 대원(언양),,102201
PEMA083046501,808294,PEMA-HR1500신일(아산),,102201
PEMA093001100,780326,PEMA-HR1000동해(동해),PEMA11507,102201
PEMA093050413,808135,PR1000(AJU-4000PR)아주(가좌)_미얀마,,102201
PEMA103048200,780001,CSA5000흥진(경주),CSA11760,102201
PEMA113048100,775252,PEMA-HR1500아성(남원),PEMA11636,102201
PEMA13031400,804734,PEMA-HR1000산하(덕소),,102201
PEMA133057600,781151,PEMA-HR1500물금(양산),PEMA11743,102201
PEMA143001100,780609,PEMA-HR1000영월(영월),PEMA11154,102201
PEMA143027400,805091,CSA4000미륭(부산),,102201
PEMA143057600,781450,PEMA-HR1500한국흄관(울산),PEMA40492,102201
PEMA153001100,780625,PEMA-HR1000우성(강릉),PEMA21154B,102201
PEMA153048300,765759,PEMA-HR1000대호(서산),,102201
PEMA193027400,808824,PEMA-SPR미륭(부산),,102201
PEMA213048300,766049,PEMA-HR1000서우(서산),,102201
PEMA223048300,766057,PEMA-HR1000서원(태안),,102201
PEMA243048300,766081,PEMA-HR1000서전(서산),,102201
PEMA253048300,766090,PEMA-HR1000서해(태안),,102201
PEMA263001100,783586,PEMA-SR3000F우성(강릉),PEMA11154B,102201
PEMA293022500,780879,PEMA-HR1500F/A진성(김해),PEMA21524,102201
PEMA313001100,808250,PEMA-HR1500우성(강릉),,102201
PEMA333048200,782639,PEMA-SR2000신창(포항),PEMA19015,102201
PEMA343022500,781100,PEMA-HR1500동양(정관),PEMA21128V,102201
PEMA353022500,781177,PEMA-HR1500보성(창원),PEMA21728,102201
PEMA353048300,766760,PEMA-HR1000제일(청양),,102201
PEMA363048300,766778,PEMA-HR1000제일(홍성),,102201
PEMA373048200,782743,PEMA-SR2000우현(포항),PEMA31310,102201
PEMA373048300,766786,PEMA-HR1000제일사(천북),,102201
PEMA383048200,782751,PEMA-SR2000유니온(포항),PEMA11618,102201
PEMA403022500,781302,PEMA-HR1500쌍용(정관),,102201
PEMA413022500,781311,PEMA-HR1500쌍용(창원),PEMA11544,102201
PEMA533022500,783480,PEMA-SR3000F쌍용(정관),PEMA12649,102201
PEMA553048200,806024,CSA5000신우(경주),CSA11760,102201
PEMA563022500,783519,PEMA-SR3000F쌍용(창원),PEMA21588,102201
PEMA623022500,805536,PEMA-HR1000대아(함안),,102201
PEMA823048300,804751,CSA5000한선(당진),,102201
PEMA93060000,808520,CSA5000인광(당진),,102201
SSA013035303,808907,AE 삼표(성수),,102201
SSA013035307,808519,AE삼표(풍납),,102201
SSA013035309,808546,AE삼표(용인),,102201
SSA013035315,808545,AE삼표(오산),,102201
SSA013048200,783990,AE양지(경주),AE11768,102201
SSA013069401,769303,AE 천마(서울),,102201
SSA013082500,804256,AE현대(안성),AE10506,102201
SSA013085300,769320,AE흥국(미사리),,102201
SSA013089210,808285,AE고려(공주),,102201
SSA073046500,806264,AE신일(송파),,102201
TSN4012000305,808404,PEMA-SN400강릉(일산),,102201
TSN4012000306,808955,PEMA-SN400 강릉(파주),,102201
TSN4012001214,806675,PEMA-SN400구산(하남),,102201
TSN4012001215,808063,PEMA-SN400구산(합천),,102201
TSN4012001515,808219,PEMA-SN400금풍(일산),,102201
TSN4012001730,808921,PEMA-SN400 남광(동탄),,102201
TSN4012006104,807145,PEMA-SN400산하(보은),,102201
TSN4012006108,808172,PEMA-SN400산하(의령),,102201
TSN4012007529,808826,PEMA-SN400 삼호(순천),,102201
TSN4012008116,808534,PEMA-SN400 서천(화도),,102201
TSN4012011122,808080,PEMA-SN400우원(신림),,102201
TSN4012011123,808319,PEMA-SN400우원(진접),,102201
TSN4012011125,808846,PEMA-SN400우원(안성),,102201
TSN4012014108,808971,PEMA-SN400 대우(청양),,102201
TSN4012015211,808392,PEMA-SN400부강(진접),,102201
TSN4012015714,808217,PEMA-SN400성보(일산),,102201
TSN4012016102,808215,PEMA-SN400경동(파주),,102201
TSN4012020803,806983,PEMA-SN400현이앤씨(청주),,102201
TSN4012026905,808394,PEMA-SN400대련(일산),,102201
TSN4012030609,808613,PEMA-SN400범양(일산),,102201
TSN4012032804,807757,PEMA-SN400동림(부산),,102201
TSN4012036402,807974,PEMA-SN400네오그린(전주),,102201
TSN4012039101,807080,PEMA-SN400 하남(파주),,102201
TSN4012039105,808929,PEMA-SN400 하남(철원),,102201
TSN4012043601,807860,PEMA-SN400청명(보령),,102201
TSN4012043602,808559,PEMA-SN400청명(용인),,102201
TSN4012056000,807942,PEMA-SN400관악(광주),,102201
TSN4012057801,809017,PEMA-SN400 아주(고양),,102201
