제품명,SR11002,SR35218,SR35904,SR15500,SR13801,SR16600,SR35224,SR35903,SR68222,SR35225,SR35228,SR38117,SR16002,SR35758,SR35210,SR34364,SR35500,SR35556,SR18520,SR35217,SR35905,SR35755,SR34307,SR35760,SR35761,SR35765,SR34311,SR35211,TSN4012039104,SR35221,SR16003,PEMA023017400,TSN4012057700,SR47093,SSA043031400
AE,0.277,0.0,0.0,0.688,0.0,0.034999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE-580FX,0.0,0.8549706635815222,0.14502933641847782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSA4000,0.7082632419266147,0.028728749999999997,0.08051806038792242,0.0,0.006634984003199359,0.0374186900119976,0.06334788042391522,0.04007410017996401,0.0009149800039992002,0.007217499999999999,0.0021999999999999997,0.0001,0.013749700059988,0.010075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000307125,0.0004499880023995201,0.0,0.0,0.0,0.0
CSA5000,0.6676112236480807,0.0019300985280151948,0.10048622422280883,0.0,0.0026112526992145796,0.038594015357476245,0.09958213591868842,0.035794953592995664,0.0010902442829988925,0.011082131230076299,0.003205878894767784,7.623456790123457e-05,0.018145987652637065,0.002687472914498797,0.000740648161373772,0.0,0.005009007105425358,0.0010188350870640236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031612580834803057,0.0,0.004631987850772555,0.0005573855103663604,0.0014583333333333332,0.0,0.0,0.0005246913580246914
CSA5000F,0.6951499999999999,0.0,0.0865,0.0,0.00075,0.019,0.12,0.0525,0.0008500000000000001,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.0,0.0,0.0,0.0
PEMA-500FR,0.059278802475229105,0.5453737656146996,0.0,0.0,0.0015211840218942465,0.0,0.0,0.0,0.0,0.33565282491788373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05817342297029329,0.0,0.0,0.0,0.0,0.0
PEMA-580FX,0.07737352504959301,0.8642496075821805,0.016166666666666666,0.0,0.0014198672793435294,0.0,0.037665541741661666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031247916805546296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEMA-CR1000,0.6531433978819352,0.055185621441834844,0.0,0.0,0.0009999795947517702,0.2094210214867264,0.03,0.025,0.0011071224518946273,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014285714285714287,0.0,0.0,0.0,0.0
PEMA-CSA5000,0.6601666666666667,0.0,0.11,0.0,0.0005,0.0155,0.136,0.06,0.001,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,0.0,0.0,0.0,0.0
PEMA-HR1000,0.643701582927905,0.01112036137343735,0.08481735806695191,0.00010734822142571543,0.0016181146136702064,0.02654046600212253,0.1112103441009127,0.03241903704088196,0.0010227488079306703,0.024737680265759364,0.01977250147855129,0.00014783323774328734,0.02050344061941464,0.0012123113595323722,0.0026316964285714286,0.0,0.002835725239527953,0.0012942370129870129,0.0,0.0009399350649350648,3.571071499985717e-06,0.0,0.0,0.0,0.0,0.0,0.0007588393035678579,0.0090017780615363,0.0,0.0031764490275942997,0.0003976228163982848,0.0,0.0,0.0,2.9017857142857146e-05
PEMA-HR1000F,0.6433132061853146,0.0,0.05066214413792746,0.0,0.0007062985781549146,0.020776994901935828,0.16498413136677148,0.043333333333333335,0.0009999206568338573,0.00915,0.02266127133136897,0.0,0.034996032841692865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,8.333333333333333e-05,0.0,0.0,0.0,0.0
PEMA-HR1000OPC,0.741,0.0,0.0,0.0,0.0005,0.0075,0.13,0.065,0.001,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEMA-HR1000S,0.551,0.0,0.18,0.0,0.001,0.055,0.135,0.045,0.001,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0
PEMA-HR1500,0.6297994363710907,0.025015540382820733,0.0533650255479511,0.0,0.00198405812678848,0.027998255349917133,0.12267984481481582,0.01634711853358131,0.0008892968117264709,0.03817537572735935,0.023762546488065365,0.00028956684529266757,0.02008848049330893,0.00151945808974851,0.0031739130434782614,0.0005652173913043478,0.0014510869565217393,0.0032549711690306126,0.0,0.00416760824736868,0.0,0.0,0.0,0.0,0.0,0.0,0.0002173913043478261,0.01961940379131628,0.0,0.005330757153067182,0.00030564736109857214,0.0,0.0,0.0,0.0
PEMA-HR1500F,0.638521875,0.0,0.0338,0.0,0.000775,0.01298125,0.17845,0.006875,0.000125,0.0078125,0.0,0.00095,0.025,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.002559375,0.000525,0.0,0.0,0.0,0.0
PEMA-PCM2000,0.6940430356406061,0.0,0.011999314383659476,0.0,0.0007011287587100064,0.01135937859411916,0.019785712528672447,0.009999722861275115,0.0022724038159686786,0.012532019880925525,0.0,0.0008332468472125347,0.0,0.0,0.0,0.03857977868366048,0.14673396437553454,0.04023561899107076,0.0,0.0,0.009165715319337882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014256407977663726,0.000333318521480889,0.0,0.0,0.0,0.0
PEMA-PCM2000B,0.6725977501045386,0.0,0.0,0.0,0.0009998148617157239,0.014608333985022759,0.0,0.06998704032010067,0.0015922914347116877,0.0,0.0,0.0,0.0,0.0,0.11697833882073969,0.0,0.0,0.12256988970231426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006665407708565289,0.0,0.0,0.0,0.0
PEMA-PCR3000E,0.7923956708658269,0.04360384589748717,0.0,0.0,0.0005832333533293341,0.0,0.0,0.0,0.0,0.0,0.0,0.0009998333666600013,0.0,0.0,0.0,0.0,0.11175914817036592,0.0,0.0,0.0,0.0,0.0,0.0,0.0029995000999800043,0.0029995000999800043,0.04399266813304006,0.0,0.0,0.0,0.0,0.0006666000133306671,0.0,0.0,0.0,0.0
PEMA-PCR3000N,0.6882448554528035,0.04548862784303924,0.0,0.0,0.0005832708489544281,0.0,0.06,0.0,0.0,0.0,0.0,0.0007082396067649753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07999062734316421,0.0,0.0,0.0,0.0029996250937265683,0.0029996250937265683,0.04399450137465634,0.07499062734316421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEMA-PR1000,0.7276523527753764,0.1011261623457592,0.0,0.0,0.0007148693135703177,0.0,0.0,0.0,0.0,0.10421566556168593,0.016499800013332445,0.0009340880183639411,0.0,0.033191919622224224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029997333688841486,0.0,0.01225510533741052,0.0004103036433929046,0.0,0.0,0.0,0.0
PEMA-PR10001,0.655925,0.1261,0.0,0.0,0.0,0.0,0.0,0.0,0.0012749999999999999,0.12,0.0,0.0007,0.0,0.0575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.001,0.0,0.0,0.0,0.0
PEMA-PR2000,0.6719985746071062,0.14204542213180865,0.0,0.0,0.000600919853965994,0.0,0.027892857142857143,0.0,0.00035714285714285714,0.09730082117007453,0.0,0.001065057140680194,0.0,0.03211518080916577,0.012856800054848365,0.003291428571428571,0.0024342857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077885714285714286,0.0002529385180645685,0.0,0.0,0.0,0.0
PEMA-SN400,0.6504042177151305,0.0,0.0,0.0,5.3571428571428575e-05,0.0008705357142857143,0.005892857142857143,0.0029464285714285716,5.3571428571428575e-05,0.0033482142857142855,0.0,0.0006685824569779922,0.0,0.00026785714285714287,0.0,0.05936567819089244,0.14841343017110864,0.10777889503731908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008607142857142857,0.001096875,5.3571428571428575e-05,0.0,0.010178571428571427,0.0,0.0
PEMA-SP1000,0.728381756981937,0.11158981537025929,0.023999999999999997,0.0,0.0006999600079984003,0.0,0.0,0.03,0.0003333333333333333,0.0,0.023995200959808036,0.0009999333466640004,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEMA-SPR,0.39464214314274293,0.19792083166733307,0.0,0.0,0.0011995201919232307,0.005197920831667333,0.0,0.0,0.0,0.08796481407437025,0.08796481407437025,0.005597760895641743,0.14994002399040385,0.0,0.0,0.0,0.0,0.0,0.0,0.043982407037185124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039984006397441024,0.0,0.0,0.025189924030387844,0.0
PEMA-SR2000,0.5884870029989624,0.07824388982786391,0.041670893926219796,9.218014553117745e-06,0.0007908975484063787,0.01510075195266421,0.08453070826350587,0.005968642403834291,0.0005087522889467241,0.06786682496491125,0.022704410576850388,0.0007168314090391561,0.012491038810602123,0.006742509617757271,0.004468085106382979,0.0014893617021276594,0.00877801744615616,0.003198254800437493,0.0003190213276391571,0.014989668156211448,7.598572544347768e-05,0.0,0.0007092198581560283,0.0,0.0,0.0,0.0008936170212765958,0.02321333901023185,0.0,0.015693283650630607,0.00033977359118967206,0.0,0.0,0.0,0.0
PEMA-SR2000A,0.565531295099476,0.07748778507930827,0.0,0.0,0.0009998794023001823,0.01016331767636929,0.07462700126641338,0.006666666666666667,0.0004104215390047788,0.07035175631540358,0.05685735625099423,0.0007963324333561877,0.0033333333333333335,0.0,0.0,0.0,0.0075,0.02633179235218994,0.05249197084806256,0.03869272291083566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032986805277888842,0.0,0.004348585122760241,0.00011110317573679951,0.0,0.0,0.0,0.0
PEMA-SR3000F,0.5765169681990279,0.09355321857157721,0.02187123313633318,0.00014629451887400297,0.0007845691961635785,0.005327053290788367,0.09064404040314225,0.0035548445866382277,0.00034559370657184313,0.056555400133520804,0.03320086324151997,0.0007933842547233316,0.006221259552539631,0.006273844490361187,0.01724386182133148,0.006532711235530672,0.012682194960256974,0.006610537892421516,0.0008887111466595569,0.016407897902221916,0.000339241781273375,0.0,0.0,0.0,0.0,0.0,0.0,0.0255557833607515,0.0,0.017582245018098228,0.0003682475996733016,0.0,0.0,0.0,0.0
PEMA-SR5000F,0.4749602079584083,0.16032666799973339,0.04866666666666667,0.0006665333599946677,0.0005332933413317336,0.0,0.07166000133306673,0.0,0.0,0.17635641538358993,0.0,0.001166613343997867,0.0,0.006666666666666667,0.0,0.03333333333333333,0.0,0.0,0.0,0.015330267279877359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR1000,0.49899999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRE-110,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRE-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
